10/05/2016 14:34:57 PM -- WARNING : The request timed out after five seconds. lcsh:Communism
10/05/2016 15:55:19 PM -- WARNING : 404 - resource not found ; tgm:conscientious objection
10/05/2016 15:55:19 PM -- WARNING : 404 - resource not found ; tgm:abortion
10/05/2016 15:55:19 PM -- WARNING : 404 - resource not found ; tgm:Hippocratic oath
10/05/2016 15:55:19 PM -- WARNING : 404 - resource not found ; tgm:life in prison
10/05/2016 15:55:19 PM -- WARNING : 404 - resource not found ; tgm:human adaption
10/05/2016 15:55:19 PM -- WARNING : 404 - resource not found ; tgm:set point theory
10/05/2016 15:55:20 PM -- WARNING : 404 - resource not found ; tgm:Cyberbullying
10/05/2016 15:55:20 PM -- WARNING : 404 - resource not found ; tgm:School
10/05/2016 15:55:20 PM -- WARNING : 404 - resource not found ; tgm:Internet Safety
10/05/2016 15:55:20 PM -- WARNING : 404 - resource not found ; tgm:Online
10/05/2016 15:55:21 PM -- WARNING : 404 - resource not found ; tgm:HIV
10/05/2016 15:55:21 PM -- WARNING : 404 - resource not found ; tgm:and Bioethics
10/05/2016 15:55:21 PM -- WARNING : 404 - resource not found ; tgm:bioethics
10/05/2016 15:55:21 PM -- WARNING : 404 - resource not found ; tgm:genetics
10/05/2016 15:55:21 PM -- WARNING : 404 - resource not found ; tgm:eugenics
10/05/2016 15:55:21 PM -- WARNING : 404 - resource not found ; tgm:genetic modification
10/05/2016 15:55:21 PM -- WARNING : 404 - resource not found ; tgm:designer babies
10/05/2016 15:55:22 PM -- WARNING : 404 - resource not found ; tgm:custody
10/05/2016 15:55:22 PM -- WARNING : 404 - resource not found ; tgm:parental rights
10/05/2016 15:55:23 PM -- WARNING : 404 - resource not found ; tgm:life support
10/05/2016 15:55:23 PM -- WARNING : 404 - resource not found ; tgm:cease
10/05/2016 15:55:23 PM -- WARNING : 404 - resource not found ; tgm:persistent vegetative state
10/05/2016 15:55:23 PM -- WARNING : 404 - resource not found ; tgm:morally permissible
10/05/2016 15:55:23 PM -- WARNING : 404 - resource not found ; tgm:right to die
10/05/2016 15:55:23 PM -- WARNING : 404 - resource not found ; tgm:sanctity of life
10/05/2016 15:55:23 PM -- WARNING : 404 - resource not found ; tgm:organ allocation
10/05/2016 15:55:24 PM -- WARNING : 404 - resource not found ; tgm:consequentialist
10/05/2016 15:55:24 PM -- WARNING : 404 - resource not found ; tgm:euthanasia
10/05/2016 15:55:24 PM -- WARNING : 404 - resource not found ; tgm:ALS
10/05/2016 15:55:24 PM -- WARNING : 404 - resource not found ; tgm:morally
10/05/2016 15:55:24 PM -- WARNING : 404 - resource not found ; tgm:assisted suicide
10/05/2016 15:55:24 PM -- WARNING : 404 - resource not found ; tgm:Overprotective parenting ethics
